protocol,c_rates,step_durations,degradation,sei_model,success,failure_type,error_msg,warning_count,warning_sample,elapsed_s,solver_level,approximate
4C_30min,[4.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,2.68,0,False
4C_30min,[4.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,5.55,0,False
4C_30min,[4.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,6.88,0,False
4C_30min,[4.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,9.02,0,False
4C_30min,[4.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,8.81,0,False
5C_30min,[5.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,1.6,0,False
5C_30min,[5.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,8.94,0,False
5C_30min,[5.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,8.06,0,False
5C_30min,[5.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,6.84,0,False
5C_30min,[5.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,11.07,0,False
6C_30min,[6.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,6.52,0,False
6C_30min,[6.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,7.75,0,False
6C_30min,[6.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,10.67,0,False
6C_30min,[6.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,9.52,0,False
6C_30min,[6.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,11.18,0,False
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",plating_only,ec reaction limited,True,SUCCESS,,0,,1.79,0,False
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",SEI_ec,ec reaction limited,True,SUCCESS,,0,,7.42,0,False
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,5.85,0,False
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,6.26,0,False
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,11.53,0,False
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",plating_only,ec reaction limited,True,SUCCESS,,0,,1.63,0,False
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",SEI_ec,ec reaction limited,True,SUCCESS,,0,,9.02,0,False
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,8.18,0,False
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,7.0,0,False
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,11.11,0,False
