protocol,c_rates,step_durations,degradation,sei_model,success,failure_type,error_msg,warning_count,warning_sample,elapsed_s,solver_level,approximate
4C_30min,[4.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,2.38,,
4C_30min,[4.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,4.97,,
4C_30min,[4.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,6.13,,
4C_30min,[4.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,7.97,,
4C_30min,[4.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,7.74,,
5C_30min,[5.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,1.4,,
5C_30min,[5.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,7.91,,
5C_30min,[5.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,7.14,,
5C_30min,[5.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,6.09,,
5C_30min,[5.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,9.78,,
6C_30min,[6.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,5.83,,
6C_30min,[6.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,6.78,,
6C_30min,[6.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,9.6,,
6C_30min,[6.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,8.52,,
6C_30min,[6.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,9.98,,
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",plating_only,ec reaction limited,True,SUCCESS,,0,,1.64,,
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",SEI_ec,ec reaction limited,True,SUCCESS,,0,,6.6,,
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,5.22,,
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,5.62,,
rest-5C-rest,"[0.0, 5.0, 0.0]","[10.0, 10.0, 10.0]",plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,10.27,,
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",plating_only,ec reaction limited,True,SUCCESS,,0,,1.5,,
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",SEI_ec,ec reaction limited,True,SUCCESS,,0,,8.12,,
5C-rest-5C,"[5.0, 0.0, 5.0]","[10.0, 10.0, 10.0]",SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,7.35,,
